date,unemploy,sp500,cons_sent,real_gdp,cpi,pce,gdpc1,ind_pro,savings
1/1/1948,3.4,,,6.2,23.68,,2086.017,14.7601,
2/1/1948,3.8,,,6.2,23.67,,2086.017,14.7878,
3/1/1948,4,,,6.2,23.5,,2086.017,14.6217,
4/1/1948,3.9,,,6.8,23.82,,2120.45,14.6494,
5/1/1948,3.5,,,6.8,24.01,,2120.45,14.8986,
6/1/1948,3.6,,,6.8,24.15,,2120.45,15.0924,
7/1/1948,3.6,,,2.3,24.4,,2132.598,15.0924,
8/1/1948,3.9,,,2.3,24.43,,2132.598,15.037,
9/1/1948,3.8,,,2.3,24.36,,2132.598,14.9263,
10/1/1948,3.7,,,0.4,24.31,,2134.981,15.0371,
11/1/1948,3.8,,,0.4,24.16,,2134.981,14.8432,
12/1/1948,4,,,0.4,24.05,,2134.981,14.7047,
1/1/1949,4.3,,,-5.4,24.01,,2105.562,14.5663,
2/1/1949,4.7,,,-5.4,23.91,,2105.562,14.4278,
3/1/1949,5,,,-5.4,23.91,,2105.562,14.1509,
4/1/1949,5.3,,,-1.4,23.92,,2098.38,14.0678,
5/1/1949,6.1,,,-1.4,23.91,,2098.38,13.874,
6/1/1949,6.2,,,-1.4,23.92,,2098.38,13.8463,
7/1/1949,6.7,,,4.2,23.7,,2120.044,13.8186,
8/1/1949,6.8,,,4.2,23.7,,2120.044,13.957,
9/1/1949,6.6,,,4.2,23.75,,2120.044,14.0955,
10/1/1949,7.9,,,-3.3,23.67,,2102.251,13.5694,
11/1/1949,6.4,,,-3.3,23.7,,2102.251,13.9294,
12/1/1949,6.6,,,-3.3,23.61,,2102.251,14.1786,
1/1/1950,6.5,17.049999,,16.7,23.51,,2184.872,14.4278,
2/1/1950,6.4,17.219999,,16.7,23.61,,2184.872,14.4832,
3/1/1950,6.3,17.290001,,16.7,23.64,,2184.872,14.954,
4/1/1950,5.8,18.07,,12.8,23.65,,2251.507,15.4524,
5/1/1950,5.5,18.780001,,12.8,23.77,,2251.507,15.8124,
6/1/1950,5.4,17.690001,,12.8,23.88,,2251.507,16.2832,
7/1/1950,5,17.84,,16.4,24.07,,2338.514,16.8094,
8/1/1950,4.5,18.42,,16.4,24.2,,2338.514,17.3355,
9/1/1950,4.4,19.450001,,16.4,24.34,,2338.514,17.2248,
10/1/1950,4.2,19.530001,,7.9,24.5,,2383.291,17.3355,
11/1/1950,4.2,19.51,,7.9,24.6,,2383.291,17.3078,
12/1/1950,4.3,20.41,,7.9,24.98,,2383.291,17.6125,
1/1/1951,3.7,21.66,,5.5,25.38,,2415.66,17.6678,
2/1/1951,3.4,21.799999,,5.5,25.83,,2415.66,17.7786,
3/1/1951,3.4,21.4,,5.5,25.88,,2415.66,17.8617,
4/1/1951,3.1,22.43,,7.1,25.92,,2457.517,17.8894,
5/1/1951,3,21.52,,7.1,25.99,,2457.517,17.834,
6/1/1951,3.2,20.959999,,7.1,25.93,,2457.517,17.7509,
7/1/1951,3.1,22.4,,8.5,25.91,,2508.166,17.474,
8/1/1951,3.1,23.280001,,8.5,25.86,,2508.166,17.3078,
9/1/1951,3.3,23.26,,8.5,26.03,,2508.166,17.4186,
10/1/1951,3.5,22.940001,,0.9,26.16,,2513.69,17.3909,
11/1/1951,3.5,22.879999,,0.9,26.32,,2513.69,17.5294,
12/1/1951,3.1,23.77,,0.9,26.47,,2513.69,17.6402,
1/1/1952,3.2,24.139999,,4.3,26.45,,2540.55,17.834,
2/1/1952,3.1,23.26,,4.3,26.41,,2540.55,17.9448,
3/1/1952,2.9,24.370001,,4.3,26.39,,2540.55,18.0002,
4/1/1952,2.9,23.32,,0.9,26.46,,2546.022,17.834,
5/1/1952,3,23.860001,,0.9,26.47,,2546.022,17.6678,
6/1/1952,3,24.959999,,0.9,26.53,,2546.022,17.5017,
7/1/1952,3.2,25.4,,2.9,26.68,,2564.401,17.2248,
8/1/1952,3.4,25.030001,,2.9,26.69,,2564.401,18.3325,
9/1/1952,3.1,24.540001,,2.9,26.63,,2564.401,18.9971,
10/1/1952,3,24.52,,13.8,26.69,,2648.621,19.191,
11/1/1952,2.8,25.66,86.2,13.8,26.69,,2648.621,19.5786,
12/1/1952,2.7,26.57,86.2,13.8,26.71,,2648.621,19.6894,
1/1/1953,2.9,26.379999,86.2,7.6,26.64,,2697.855,19.7448,
2/1/1953,2.6,25.9,90.7,7.6,26.59,,2697.855,19.8556,
3/1/1953,2.6,25.290001,90.7,7.6,26.63,,2697.855,20.0217,
4/1/1953,2.7,24.620001,90.7,3.1,26.69,,2718.709,20.1048,
5/1/1953,2.5,24.540001,90.7,3.1,26.7,,2718.709,20.2156,
6/1/1953,2.5,24.139999,90.7,3.1,26.77,,2718.709,20.1325,
7/1/1953,2.6,24.75,90.7,-2.2,26.79,,2703.411,20.3817,
8/1/1953,2.7,23.32,80.8,-2.2,26.85,,2703.411,20.2709,
9/1/1953,2.9,23.35,80.8,-2.2,26.89,,2703.411,19.8556,
10/1/1953,3.1,24.540001,80.8,-5.9,26.95,,2662.482,19.6894,
11/1/1953,3.5,24.76,80.7,-5.9,26.85,,2662.482,19.2186,
12/1/1953,4.5,24.809999,80.7,-5.9,26.87,,2662.482,18.7479,
1/1/1954,4.9,26.08,80.7,-1.9,26.94,,2649.755,18.6094,
2/1/1954,5.2,26.15,82,-1.9,26.99,,2649.755,18.6648,
3/1/1954,5.7,26.940001,82,-1.9,26.93,,2649.755,18.554,
4/1/1954,5.9,28.26,82,0.4,26.86,,2652.643,18.4432,
5/1/1954,5.9,29.190001,82.9,0.4,26.93,,2652.643,18.554,
6/1/1954,5.6,29.209999,82.9,0.4,26.94,,2652.643,18.6094,
7/1/1954,5.8,30.879999,82.9,4.6,26.86,,2682.601,18.6371,
8/1/1954,6,29.83,82.9,4.6,26.85,,2682.601,18.6094,
9/1/1954,6.1,32.310001,82.9,4.6,26.81,,2682.601,18.6371,
10/1/1954,5.7,31.68,82.9,8.1,26.72,,2735.091,18.8586,
11/1/1954,5.3,34.240002,87,8.1,26.78,,2735.091,19.1632,
12/1/1954,5,35.98,87,8.1,26.77,,2735.091,19.4125,
1/1/1955,4.9,36.630001,87,11.9,26.77,,2813.212,19.8556,
2/1/1955,4.7,36.759998,95.9,11.9,26.82,,2813.212,20.1048,
3/1/1955,4.6,36.580002,95.9,11.9,26.79,,2813.212,20.5756,
4/1/1955,4.7,37.959999,95.9,6.7,26.79,,2858.988,20.8248,
5/1/1955,4.3,37.91,99.1,6.7,26.77,,2858.988,21.1571,
6/1/1955,4.2,41.029999,99.1,6.7,26.71,,2858.988,21.1848,
7/1/1955,4,43.52,99.1,5.5,26.76,,2897.598,21.351,
8/1/1955,4.2,43.18,99.1,5.5,26.72,,2897.598,21.3233,
9/1/1955,4.1,43.669998,99.1,5.5,26.85,,2897.598,21.4617,
10/1/1955,4.3,42.34,99.1,2.4,26.82,,2914.993,21.8217,
11/1/1955,4.2,45.509998,99.7,2.4,26.88,,2914.993,21.8771,
12/1/1955,4.2,45.48,99.7,2.4,26.87,,2914.993,21.9602,
1/1/1956,4,43.82,99.7,-1.5,26.83,,2903.671,22.0987,
2/1/1956,3.9,45.34,99.7,-1.5,26.86,,2903.671,21.9048,
3/1/1956,4.2,48.48,99.7,-1.5,26.89,,2903.671,21.9048,
4/1/1956,4,48.380001,99.7,3.3,26.93,,2927.665,22.071,
