"","president","speech_year","month","avg_sentiment","avg_approval"
"1","ABRAHAM LINCOLN",1861,1861-03-01,0.166666666666667,NA
"2","ABRAHAM LINCOLN",1861,1861-04-01,-0.404761904761904,NA
"3","ABRAHAM LINCOLN",1861,1861-05-01,0.444444444444444,NA
"4","ABRAHAM LINCOLN",1861,1861-06-01,0.25,NA
"5","ABRAHAM LINCOLN",1861,1861-07-01,0.5,NA
"6","ABRAHAM LINCOLN",1861,1861-08-01,0.738888888888889,NA
"7","ABRAHAM LINCOLN",1861,1861-10-01,0.5,NA
"8","ABRAHAM LINCOLN",1861,1861-11-01,-0.116666666666666,NA
"9","ABRAHAM LINCOLN",1861,1861-12-01,0.762896825396825,NA
"10","ABRAHAM LINCOLN",1862,1862-01-01,0.607142857142857,NA
"11","ABRAHAM LINCOLN",1862,1862-02-01,0.639880952380952,NA
"12","ABRAHAM LINCOLN",1862,1862-03-01,0.84375,NA
"13","ABRAHAM LINCOLN",1862,1862-04-01,0.404232804232805,NA
"14","ABRAHAM LINCOLN",1862,1862-05-01,0.147619047619048,NA
"15","ABRAHAM LINCOLN",1862,1862-06-01,0.539393939393939,NA
"16","ABRAHAM LINCOLN",1862,1862-07-01,0.175757575757576,NA
"17","ABRAHAM LINCOLN",1862,1862-08-01,-0.433333333333333,NA
"18","ABRAHAM LINCOLN",1862,1862-09-01,-0.366666666666667,NA
"19","ABRAHAM LINCOLN",1862,1862-10-01,1.4,NA
"20","ABRAHAM LINCOLN",1862,1862-11-01,0.0476190476190476,NA
"21","ABRAHAM LINCOLN",1862,1862-12-01,0.448717948717949,NA
"22","ABRAHAM LINCOLN",1863,1863-01-01,0.628888888888889,NA
"23","ABRAHAM LINCOLN",1863,1863-02-01,0.5,NA
"24","ABRAHAM LINCOLN",1863,1863-03-01,0.75,NA
"25","ABRAHAM LINCOLN",1863,1863-04-01,0.555555555555556,NA
"26","ABRAHAM LINCOLN",1863,1863-05-01,0,NA
"27","ABRAHAM LINCOLN",1863,1863-06-01,0.5,NA
"28","ABRAHAM LINCOLN",1863,1863-07-01,-0.363095238095238,NA
"29","ABRAHAM LINCOLN",1863,1863-08-01,0.25,NA
"30","ABRAHAM LINCOLN",1863,1863-09-01,-0.166666666666667,NA
"31","ABRAHAM LINCOLN",1863,1863-10-01,0.585714285714285,NA
"32","ABRAHAM LINCOLN",1863,1863-11-01,0.75,NA
"33","ABRAHAM LINCOLN",1863,1863-12-01,0.905873015873016,NA
"34","ABRAHAM LINCOLN",1864,1864-01-01,0.303030303030303,NA
"35","ABRAHAM LINCOLN",1864,1864-02-01,-0.0625,NA
"36","ABRAHAM LINCOLN",1864,1864-03-01,0.923611111111111,NA
"37","ABRAHAM LINCOLN",1864,1864-04-01,0.257575757575758,NA
"38","ABRAHAM LINCOLN",1864,1864-05-01,0.621212121212121,NA
"39","ABRAHAM LINCOLN",1864,1864-06-01,0.037037037037037,NA
"40","ABRAHAM LINCOLN",1864,1864-07-01,0.172222222222222,NA
"41","ABRAHAM LINCOLN",1864,1864-08-01,0.52,NA
"42","ABRAHAM LINCOLN",1864,1864-09-01,0.886666666666667,NA
"43","ABRAHAM LINCOLN",1864,1864-10-01,0.8,NA
"44","ABRAHAM LINCOLN",1864,1864-11-01,0.750000000000002,NA
"45","ABRAHAM LINCOLN",1864,1864-12-01,0.303030303030303,NA
"46","ABRAHAM LINCOLN",1865,1865-01-01,0.291666666666667,NA
"47","ABRAHAM LINCOLN",1865,1865-02-01,0.476666666666667,NA
"48","ABRAHAM LINCOLN",1865,1865-03-01,-0.26952380952381,NA
"49","ABRAHAM LINCOLN",1865,1865-04-01,0.583333333333333,NA
"50","ANDREW JACKSON",1829,1829-03-01,0.666666666666667,NA
"51","ANDREW JACKSON",1829,1829-04-01,2,NA
"52","ANDREW JACKSON",1829,1829-05-01,0,NA
"53","ANDREW JACKSON",1829,1829-06-01,0.666666666666667,NA
"54","ANDREW JACKSON",1829,1829-12-01,0.851190476190476,NA
"55","ANDREW JACKSON",1830,1830-01-01,0.8,NA
"56","ANDREW JACKSON",1830,1830-02-01,0.0333333333333334,NA
"57","ANDREW JACKSON",1830,1830-03-01,-0.208333333333333,NA
"58","ANDREW JACKSON",1830,1830-04-01,-0.638888888888888,NA
"59","ANDREW JACKSON",1830,1830-05-01,0.506944444444444,NA
"60","ANDREW JACKSON",1830,1830-06-01,-0.633333333333334,NA
"61","ANDREW JACKSON",1830,1830-09-01,1,NA
"62","ANDREW JACKSON",1830,1830-10-01,0.25,NA
"63","ANDREW JACKSON",1830,1830-12-01,0.625,NA
"64","ANDREW JACKSON",1831,1831-01-01,0.408333333333333,NA
"65","ANDREW JACKSON",1831,1831-02-01,-0.128571428571429,NA
"66","ANDREW JACKSON",1831,1831-03-01,0.5,NA
"67","ANDREW JACKSON",1831,1831-08-01,0,NA
"68","ANDREW JACKSON",1831,1831-12-01,0.31031746031746,NA
"69","ANDREW JACKSON",1832,1832-01-01,-0.257142857142857,NA
"70","ANDREW JACKSON",1832,1832-02-01,0.183333333333333,NA
"71","ANDREW JACKSON",1832,1832-03-01,0.9,NA
"72","ANDREW JACKSON",1832,1832-04-01,0.807142857142857,NA
"73","ANDREW JACKSON",1832,1832-05-01,1.25,NA
"74","ANDREW JACKSON",1832,1832-06-01,1.375,NA
"75","ANDREW JACKSON",1832,1832-07-01,0.444444444444444,NA
"76","ANDREW JACKSON",1832,1832-12-01,0.443333333333333,NA
"77","ANDREW JACKSON",1833,1833-01-01,0.378787878787879,NA
"78","ANDREW JACKSON",1833,1833-02-01,1.06666666666667,NA
"79","ANDREW JACKSON",1833,1833-03-01,0.533333333333333,NA
"80","ANDREW JACKSON",1833,1833-09-01,0,NA
"81","ANDREW JACKSON",1833,1833-12-01,-0.0833333333333334,NA
"82","ANDREW JACKSON",1834,1834-01-01,0.346666666666667,NA
"83","ANDREW JACKSON",1834,1834-02-01,0.833333333333333,NA
"84","ANDREW JACKSON",1834,1834-03-01,0.666666666666667,NA
"85","ANDREW JACKSON",1834,1834-04-01,0.753333333333333,NA
"86","ANDREW JACKSON",1834,1834-05-01,0.866666666666667,NA
"87","ANDREW JACKSON",1834,1834-06-01,0.355442176870748,NA
"88","ANDREW JACKSON",1834,1834-12-01,0.0603174603174603,NA
"89","ANDREW JACKSON",1835,1835-01-01,0.833333333333333,NA
"90","ANDREW JACKSON",1835,1835-02-01,0.178571428571429,NA
