,X,president,speech_year,month,avg_sentiment,avg_approval,unemploychg,sp500chg,cons_sentchg,real_gdpchg,cpichg,pcechg,gdpc1chg,ind_prochg,savingschg,avg_sentiment_ctr
1,151,BARACK OBAMA,2009,1/1/09,0.504537612,0.662727273,-6.849315068,-8.565734293,1.830282862,-4.4,-3.03692561,6.548346984,-1.122695047,-2.379359156,-0.2,-0.073516246
2,152,BARACK OBAMA,2009,2/1/09,0.39088955,0.636923077,-6.41025641,-10.99311976,-8.006535948,-4.4,-4.371192783,-2.183200801,0,-0.654376645,-0.7,-0.187164308
3,153,BARACK OBAMA,2009,3/1/09,0.478311145,0.618709677,-4.819277108,8.540446162,1.776198934,-4.4,1.184739428,-5.836575875,0,-1.580096752,0.4,-0.099742713
4,154,BARACK OBAMA,2009,4/1/09,0.565824803,0.630344828,-3.448275862,9.392507986,13.61256545,-0.6,-1.208499024,0.777897824,-0.143989749,-0.800597696,0.9,-0.012229054
5,155,BARACK OBAMA,2009,5/1/09,0.446234049,0.644,-4.444444444,5.308144626,5.529953917,-0.6,-1.765792703,2.973840079,0,-1.005822467,1.4,-0.131819809
6,156,BARACK OBAMA,2009,6/1/09,0.476681097,0.605172414,-1.063829787,0.019582653,3.056768559,-0.6,-9.959534696,7.139266994,0,-0.387150803,-1.5,-0.101372761
7,157,BARACK OBAMA,2009,7/1/09,0.618832672,0.571,0,7.414172702,-6.779661017,1.5,0.357558546,4.258226351,0.364111101,1.101535097,-0.7,0.040778814
8,158,BARACK OBAMA,2009,8/1/09,0.481498829,0.531935484,-1.052631579,3.356018924,-0.454545455,1.5,-4.018144053,14.54626741,0,1.131338146,-1.1,-0.096555029
9,159,BARACK OBAMA,2009,9/1/09,0.489095745,0.520714286,-2.083333333,3.572334579,11.87214612,1.5,-2.31706468,-9.34845899,0,0.756084849,1,-0.088958113
10,160,BARACK OBAMA,2009,10/1/09,0.583921356,0.526451613,-2.040816327,-1.976200086,-3.945578231,4.5,-3.602318158,5.888661797,1.098384104,0.32676496,-0.5,0.005867499
11,161,BARACK OBAMA,2009,11/1/09,0.573336039,0.509310345,1,5.736406198,-4.532577904,4.5,-4.018308708,1.039076108,0,0.401041887,0.5,-0.004717819
12,162,BARACK OBAMA,2009,12/1/09,0.351112155,0.5016,0,1.777057119,7.566765579,4.5,-0.62421168,7.049947186,0,0.298500855,0,-0.226941702
13,163,BARACK OBAMA,2010,1/1/10,0.499059829,0.494333333,1.01010101,-3.697424615,2.620689655,1.5,-0.778478654,0.348038284,0.38477974,1.173787149,0.2,-0.078994029
14,164,BARACK OBAMA,2010,2/1/10,0.623453927,0.502857143,0,2.851368894,-1.075268817,1.5,1.14213198,3.455378032,0,0.351639147,-0.3,0.045400069
15,165,BARACK OBAMA,2010,3/1/10,0.497427638,0.485,-1.020408163,5.879642603,0,1.5,-0.397641763,6.998584332,0,0.655491466,-0.1,-0.08062622
16,166,BARACK OBAMA,2010,4/1/10,0.416695011,0.483928571,0,1.475922988,-1.902173913,3.7,-0.27604864,2.83077777,0.922028304,0.3774954,0.7,-0.161358847
17,167,BARACK OBAMA,2010,5/1/10,0.522625949,0.485172414,3.03030303,-8.197584191,1.939058172,3.7,0.623726444,2.147751881,0,1.440189329,0.6,-0.055427909
18,168,BARACK OBAMA,2010,6/1/10,0.462815873,0.463666667,2.083333333,-5.388244203,3.260869565,3.7,0.50255419,2.416345869,0,0.141147077,-0.1,-0.115237985
