"","president_name","Emotion","Percentage"
"1","ABRAHAM LINCOLN","Anger",0.0578955674786319
"2","ANDREW JACKSON","Anger",0.0340228544007111
"3","ANDREW JOHNSON","Anger",0.0462584079143074
"4","BARACK OBAMA","Anger",0.0637589321195179
"5","BENJAMIN HARRISON","Anger",0.0498258472891602
"6","BILL CLINTON","Anger",0.0648901609729336
"7","CALVIN COOLIDGE","Anger",0.0545575320027107
"8","CHESTER A. ARTHUR","Anger",0.0285750839857961
"9","DONALD TRUMP","Anger",0.0669713120626082
"10","DWIGHT D. EISENHOWER","Anger",0.0514972170983264
"11","FRANKLIN D. ROOSEVELT","Anger",0.0566501497510254
"12","FRANKLIN PIERCE","Anger",0.0400872580322257
"13","GEORGE BUSH","Anger",0.0585520802298072
"14","GEORGE W. BUSH","Anger",0.0593126292246155
"15","GEORGE WASHINGTON","Anger",0.0454739466860938
"16","GERALD FORD","Anger",0.0474930667698151
"17","GROVER CLEVELAND","Anger",0.0706227496498447
"18","HARRY S. TRUMAN","Anger",0.0706435548257526
"19","HERBERT HOOVER","Anger",0.0416245526686272
"20","JAMES A. GARFIELD","Anger",0.0813254666480473
"21","JAMES BUCHANAN","Anger",0.0473797052417786
"22","JAMES K. POLK","Anger",0.0408702577562416
"23","JAMES MADISON","Anger",0.0530646213791435
"24","JAMES MONROE","Anger",0.0566141053891523
"25","JIMMY CARTER","Anger",0.0492823778988204
"26","JOHN ADAMS","Anger",0.0507893318565594
"27","JOHN F. KENNEDY","Anger",0.0445349408151756
"28","JOHN QUINCY ADAMS","Anger",0.0295836331805393
"29","JOHN TYLER","Anger",0.0399721032155234
"30","LYNDON B. JOHNSON","Anger",0.0554505065725088
"31","MARTIN VAN BUREN","Anger",0.0417381480612512
"32","MILLARD FILLMORE","Anger",0.043870511770486
"33","RICHARD NIXON","Anger",0.0482486662518332
"34","RONALD REAGAN","Anger",0.0577959551793103
"35","RUTHERFORD B. HAYES","Anger",0.0445201147102285
"36","THEODORE ROOSEVELT","Anger",0.0443021564818157
"37","THOMAS JEFFERSON","Anger",0.0584824394244342
"38","ULYSSES S. GRANT","Anger",0.0417086751092844
"39","WARREN G. HARDING","Anger",0.0488518371742659
"40","WILLIAM HENRY HARRISON","Anger",0.032396861554037
"41","WILLIAM HOWARD TAFT","Anger",0.0416586662344992
"42","WILLIAM MCKINLEY","Anger",0.0530937716593832
"43","WOODROW WILSON","Anger",0.0682526578644886
"44","ZACHARY TAYLOR","Anger",0.0327782886760015
"45","ABRAHAM LINCOLN","Anticipation",0.121169421220782
"46","ANDREW JACKSON","Anticipation",0.117798338158787
"47","ANDREW JOHNSON","Anticipation",0.108473446823747
"48","BARACK OBAMA","Anticipation",0.176292878291347
"49","BENJAMIN HARRISON","Anticipation",0.133013051466004
"50","BILL CLINTON","Anticipation",0.174786361572588
"51","CALVIN COOLIDGE","Anticipation",0.171407095424372
"52","CHESTER A. ARTHUR","Anticipation",0.124707682431549
"53","DONALD TRUMP","Anticipation",0.160930923523147
"54","DWIGHT D. EISENHOWER","Anticipation",0.175826355198471
"55","FRANKLIN D. ROOSEVELT","Anticipation",0.183523889453048
"56","FRANKLIN PIERCE","Anticipation",0.106294876151275
"57","GEORGE BUSH","Anticipation",0.167500845232403
"58","GEORGE W. BUSH","Anticipation",0.168365139786655
"59","GEORGE WASHINGTON","Anticipation",0.168202313699363
"60","GERALD FORD","Anticipation",0.177414794394175
"61","GROVER CLEVELAND","Anticipation",0.12732958135738
"62","HARRY S. TRUMAN","Anticipation",0.1705166324782
"63","HERBERT HOOVER","Anticipation",0.192278747104082
"64","JAMES A. GARFIELD","Anticipation",0.0579453521389005
"65","JAMES BUCHANAN","Anticipation",0.10216369404873
"66","JAMES K. POLK","Anticipation",0.124441455663413
"67","JAMES MADISON","Anticipation",0.130210549230242
"68","JAMES MONROE","Anticipation",0.109987384786609
"69","JIMMY CARTER","Anticipation",0.171232533696302
"70","JOHN ADAMS","Anticipation",0.126886727021477
"71","JOHN F. KENNEDY","Anticipation",0.184532673159406
"72","JOHN QUINCY ADAMS","Anticipation",0.101413239471533
"73","JOHN TYLER","Anticipation",0.128681940389732
"74","LYNDON B. JOHNSON","Anticipation",0.180696902437033
"75","MARTIN VAN BUREN","Anticipation",0.114019283746305
"76","MILLARD FILLMORE","Anticipation",0.11329685241166
"77","RICHARD NIXON","Anticipation",0.180753703081982
"78","RONALD REAGAN","Anticipation",0.171188051307016
"79","RUTHERFORD B. HAYES","Anticipation",0.119289345606976
"80","THEODORE ROOSEVELT","Anticipation",0.139423226135409
"81","THOMAS JEFFERSON","Anticipation",0.140061577318896
"82","ULYSSES S. GRANT","Anticipation",0.176791951598464
"83","WARREN G. HARDING","Anticipation",0.170464075307672
"84","WILLIAM HENRY HARRISON","Anticipation",0.0897956488726024
"85","WILLIAM HOWARD TAFT","Anticipation",0.171476364651587
"86","WILLIAM MCKINLEY","Anticipation",0.113106344952976
"87","WOODROW WILSON","Anticipation",0.172309165674737
"88","ZACHARY TAYLOR","Anticipation",0.120775873597938
"89","ABRAHAM LINCOLN","Disgust",0.0552262380437726
"90","ANDREW JACKSON","Disgust",0.0658531985398459
"91","ANDREW JOHNSON","Disgust",0.0676542783841738
"92","BARACK OBAMA","Disgust",0.0421624224800859
"93","BENJAMIN HARRISON","Disgust",0.0616142024958157
"94","BILL CLINTON","Disgust",0.044098687354292
"95","CALVIN COOLIDGE","Disgust",0.0477625685479068
"96","CHESTER A. ARTHUR","Disgust",0.109195317222549
"97","DONALD TRUMP","Disgust",0.0412472490297803
"98","DWIGHT D. EISENHOWER","Disgust",0.0366783582156408
"99","FRANKLIN D. ROOSEVELT","Disgust",0.041032615775867
"100","FRANKLIN PIERCE","Disgust",0.0571109975884123
"101","GEORGE BUSH","Disgust",0.0440993163127096
"102","GEORGE W. BUSH","Disgust",0.0433450388939289
"103","GEORGE WASHINGTON","Disgust",0.0486547127868147
"104","GERALD FORD","Disgust",0.0455808952599405
"105","GROVER CLEVELAND","Disgust",0.0699058811702075
"106","HARRY S. TRUMAN","Disgust",0.0382744525248707
"107","HERBERT HOOVER","Disgust",0.0355598949129245
"108","JAMES A. GARFIELD","Disgust",0.0674000372387469
"109","JAMES BUCHANAN","Disgust",0.0538108234367555
"110","JAMES K. POLK","Disgust",0.0362309301671533
"111","JAMES MADISON","Disgust",0.0776692345470135
"112","JAMES MONROE","Disgust",0.0604384802652072
"113","JIMMY CARTER","Disgust",0.0433242750647951
"114","JOHN ADAMS","Disgust",0.137787119151001
