"","president_name","negative","positive","speech_diversity","sentiment"
"1","ABRAHAM LINCOLN",7.97133757961783,11.9331210191083,127.509554140127,3.96178343949045
"2","ANDREW JACKSON",23.6860986547085,36.8385650224215,239.484304932735,13.152466367713
"3","ANDREW JOHNSON",12.3731343283582,16.8171641791045,165.94776119403,4.44402985074627
"4","BARACK OBAMA",24.2278002018163,58.5934661957619,348.926967709384,34.3656659939455
"5","BENJAMIN HARRISON",11.7907949790795,21.5020920502092,204.355648535565,9.71129707112971
"6","BILL CLINTON",22.6329802193681,50.1523389894066,327.605793568951,27.5193587700384
"7","CALVIN COOLIDGE",37.9795918367347,81.0612244897959,527.15306122449,43.0816326530612
"8","CHESTER A. ARTHUR",6.78865979381443,14.2886597938144,151.247422680412,7.5
"9","DONALD TRUMP",22.54296875,67.240234375,308.6787109375,44.697265625
"10","DWIGHT D. EISENHOWER",13.6326170150132,31.8283779805711,240.956432146011,18.1957609655578
"11","FRANKLIN D. ROOSEVELT",14.3851546391753,27.4832989690722,239.533195876289,13.0981443298969
"12","FRANKLIN PIERCE",12.2951807228916,18.2409638554217,152.493975903614,5.94578313253012
"13","GEORGE BUSH",19.1799951088286,48.6820738566887,316.111029591587,29.5020787478601
"14","GEORGE W. BUSH",23.1511754068716,61.7036769138035,303.036407474382,38.5525015069319
"15","GEORGE WASHINGTON",9.13725490196078,19,153.156862745098,9.86274509803922
"16","GERALD FORD",15.9590595865424,41.5796513984597,271.023104985813,25.6205918119173
"17","GROVER CLEVELAND",17.8423236514523,22.4854771784232,223.740663900415,4.64315352697095
"18","HARRY S. TRUMAN",16.7165197611601,34.7679840773386,261.623542792152,18.0514643161786
"19","HERBERT HOOVER",8.56936067551267,15.2448733413752,135.083232810615,6.67551266586248
"20","JAMES A. GARFIELD",33.75,69.5,397.75,35.75
"21","JAMES BUCHANAN",23.6754385964912,29.7631578947368,225.710526315789,6.08771929824561
"22","JAMES K. POLK",22.484126984127,37.9206349206349,254.650793650794,15.4365079365079
"23","JAMES MADISON",11.8989898989899,22.4848484848485,177.373737373737,10.5858585858586
"24","JAMES MONROE",13.5903614457831,27.6807228915663,188.759036144578,14.0903614457831
"25","JIMMY CARTER",21.7339805825243,48.2518723994452,319.140083217753,26.5178918169209
"26","JOHN ADAMS",11.0266666666667,25.36,173.906666666667,14.3333333333333
"27","JOHN F. KENNEDY",16.0031463030939,34.8306240167803,246.708442579969,18.8274777136864
"28","JOHN QUINCY ADAMS",8.47115384615385,17.5769230769231,157.105769230769,9.10576923076923
"29","JOHN TYLER",21.976,33.48,266.584,11.504
"30","LYNDON B. JOHNSON",16.2321073558648,36.9880715705765,269.998260437376,20.7559642147117
"31","MARTIN VAN BUREN",21.8045112781955,32.9248120300752,237.097744360902,11.1203007518797
"32","MILLARD FILLMORE",9.15384615384615,17.125,138.740384615385,7.97115384615385
"33","RICHARD NIXON",18.5566037735849,39.0654088050314,264.167610062893,20.5088050314465
"34","RONALD REAGAN",18.3674208144796,41.1009049773756,296.586726998492,22.7334841628959
"35","RUTHERFORD B. HAYES",15.8979591836735,33.7959183673469,217.908163265306,17.8979591836735
"36","THEODORE ROOSEVELT",24.3803526448363,38.1234256926952,285.445843828715,13.7430730478589
"37","THOMAS JEFFERSON",7.43971631205674,13.1347517730496,147.787234042553,5.69503546099291
"38","ULYSSES S. GRANT",9.15015015015015,16.4744744744745,158.63963963964,7.32432432432432
"39","WARREN G. HARDING",38.2111111111111,63.6666666666667,419.588888888889,25.4555555555556
"40","WILLIAM HENRY HARRISON",117.5,175,891.5,57.5
"41","WILLIAM HOWARD TAFT",33.9868421052632,69.9078947368421,374.842105263158,35.921052631579
"42","WILLIAM MCKINLEY",12.2167487684729,23.8374384236453,201.620689655172,11.6206896551724
"43","WOODROW WILSON",30.7240356083086,53.5252225519288,358.249258160237,22.8011869436202
"44","ZACHARY TAYLOR",8.80645161290323,21.6774193548387,177.612903225806,12.8709677419355
