"","president_name","avg_score","sum_score"
"1","ABRAHAM LINCOLN",0.00896860986547085,32
"2","ANDREW JACKSON",0.135043315780533,795
"3","ANDREW JOHNSON",-0.157581310123683,-688
"4","BARACK OBAMA",0.440638141845882,147215
"5","BENJAMIN HARRISON",0.244175209692451,1048
"6","BILL CLINTON",0.315858321840376,128940
"7","CALVIN COOLIDGE",0.38328900302669,4179
"8","CHESTER A. ARTHUR",0.309135399673736,758
"9","DONALD TRUMP",0.403654244805477,16746
"10","DWIGHT D. EISENHOWER",0.559783844517864,41850
"11","FRANKLIN D. ROOSEVELT",0.123920278944449,6255
"12","FRANKLIN PIERCE",0.0846934274371416,192
"13","GEORGE BUSH",0.571982992323717,80176
"14","GEORGE W. BUSH",0.438737592547962,156560
"15","GEORGE WASHINGTON",0.41784548422198,768
"16","GERALD FORD",0.643577554363537,40073
"17","GROVER CLEVELAND",-0.00356083086053412,-36
"18","HARRY S. TRUMAN",0.345262042264184,31925
"19","HERBERT HOOVER",0.291451056489866,5407
"20","JAMES A. GARFIELD",0.037037037037037,8
"21","JAMES BUCHANAN",-0.0205646566747996,-59
"22","JAMES K. POLK",0.0134375763498656,55
"23","JAMES MADISON",0.264922870556673,395
"24","JAMES MONROE",0.164481897627965,527
"25","JIMMY CARTER",0.592231434597355,69358
"26","JOHN ADAMS",0.284313725490196,319
"27","JOHN F. KENNEDY",0.592363197808712,28979
"28","JOHN QUINCY ADAMS",0.274809160305344,360
"29","JOHN TYLER",0.0991253644314869,306
"30","LYNDON B. JOHNSON",0.501032681326692,53612
"31","MARTIN VAN BUREN",0.0940563725490196,307
"32","MILLARD FILLMORE",0.281273692191054,371
"33","RICHARD NIXON",0.438107779578606,38925
"34","RONALD REAGAN",0.4616972198616,95075
"35","RUTHERFORD B. HAYES",0.407507914970602,901
"36","THEODORE ROOSEVELT",0.109295287505404,1264
"37","THOMAS JEFFERSON",0.0304925723221267,39
"38","ULYSSES S. GRANT",0.239757525083612,1147
"39","WARREN G. HARDING",-0.00366720146688059,-16
"40","WILLIAM HENRY HARRISON",0.31021897810219,85
"41","WILLIAM HOWARD TAFT",0.340402093087304,1236
"42","WILLIAM MCKINLEY",0.228070175438597,845
"43","WOODROW WILSON",-0.0312906489377078,-433
"44","ZACHARY TAYLOR",0.366255144032922,178
